Year,Bilinen_Beklenen_Carpisma,Bilinen_Kumulatif_Olasilik,Tehdit_Eden_Nesne_Sayisi,Projekte_Kesif_Hizi,Tehlike_Skoru
2026,204.4765464193952,8.160753666633865e-05,119.0,30.87473040451914,27.01464726042809
2027,206.454611267752,2.073829778734981e-05,124.0,0.0,18.978361909978428
2028,211.00484896738612,2.398408507470787e-05,128.0,36.09557679080498,28.472635629521324
2029,216.65871782277438,4.1072009496241286e-05,136.0,0.0,20.365330384887354
2030,217.01702962294664,4.2977997437671085e-05,136.0,40.804893295980015,30.578262651122778
2031,222.03544329278765,4.9722424230359e-05,147.0,0.0,21.260343964298713
2032,226.1644524692652,5.054280823032528e-05,150.0,44.98944605297034,32.875788126216065
2033,237.1659883286645,5.0963807633929196e-05,154.0,0.0,22.56462697342407
2034,239.89871920330884,5.69485760032426e-05,162.0,48.64441868562525,35.254839190943756
2035,244.34356047315012,8.155931465403625e-05,169.0,0.0,23.983251555910208
2036,249.534844934303,8.169621622614835e-05,173.0,51.77194421850649,37.39214285236622
2037,250.534844934303,8.163567622614835e-05,174.0,0.0,24.597593232849118
2038,250.65788689704078,8.24250296947994e-05,178.0,54.37992181790434,38.32509098768327
2039,256.85198304856726,8.280210097679914e-05,183.0,0.0,25.392427434428594
2040,258.604551405854,8.456699328116269e-05,186.0,56.48104741574387,39.723136851834454
2041,262.0224456020533,8.517383219744414e-05,189.0,0.0,26.004044117483904
2042,263.37414224027486,0.00010740632749871182,191.0,58.09200594906042,40.89635880075249
2043,263.967892787928,0.00011157657442090126,196.0,0.0,26.706741230245356
2044,267.898589188554,0.00012820575590759923,201.0,59.23278679364527,42.113428812915856
2045,268.33138773329284,0.0001319563607444042,203.0,0.0,27.504145917266776
2046,271.53438323591286,0.0001542332416150285,212.0,59.9260942187442,43.2576175447393
2047,272.6866685064262,0.0001559915868642689,217.0,0.0,28.6215354168686
2048,273.75815786812836,0.0001541856294174604,217.0,60.19683226155848,43.673071174492385
2049,279.9542185078577,0.00015873388335558615,225.0,0.0,29.457318494462008
2050,283.83412193776115,0.00017240977762798042,231.0,60.071649001628366,45.07689603034168
2051,283.530235901317,0.00021629766867188764,233.0,0.0,30.65444565604493
